No.     Time           Source                Destination           Protocol Length Info
   3648 1648.137639000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3649 1648.137954000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3650 1648.137979000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=787 Win=64734 Len=0
   3651 1648.176883000 192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
   3652 1648.176940000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3653 1648.176976000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=824 Win=64697 Len=0
   3654 1648.177308000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3656 1648.217285000 192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
   3657 1648.217379000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=862 Win=64659 Len=0
   3658 1648.217411000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3659 1648.217742000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3660 1648.217788000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=864 Win=64657 Len=0
   3661 1648.249005000 192.168.0.1           192.168.0.2           TCP      83     [TCP segment of a reassembled PDU]
   3662 1648.249478000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3663 1648.249550000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=894 Win=64627 Len=0
   3664 1648.249592000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3665 1648.279199000 192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
   3666 1648.279336000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=922 Win=64599 Len=0
   3667 1648.279389000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3668 1648.279817000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3669 1648.279901000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=924 Win=64597 Len=0
   3670 1648.332955000 192.168.0.1           192.168.0.2           TCP      104    [TCP segment of a reassembled PDU]
   3671 1648.333417000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3672 1648.333487000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=975 Win=64546 Len=0
   3673 1648.333526000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3674 1648.395546000 192.168.0.1           192.168.0.2           TCP      112    [TCP segment of a reassembled PDU]
   3675 1648.395687000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1034 Win=64487 Len=0
   3676 1648.395741000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3677 1648.396268000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3678 1648.396346000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1036 Win=64485 Len=0
   3679 1648.454819000 192.168.0.1           192.168.0.2           TCP      109    [TCP segment of a reassembled PDU]
   3680 1648.454932000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3681 1648.455009000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1092 Win=64429 Len=0
   3682 1648.455420000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3683 1648.512039000 192.168.0.1           192.168.0.2           TCP      107    [TCP segment of a reassembled PDU]
   3684 1648.512170000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1146 Win=64375 Len=0
   3685 1648.512212000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3686 1648.512544000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3687 1648.512587000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1148 Win=64373 Len=0
   3688 1648.538750000 192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
   3689 1648.538863000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3690 1648.538936000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1173 Win=64348 Len=0
   3691 1648.539348000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3692 1648.548445000 192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
   3693 1648.548576000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1180 Win=64341 Len=0
   3694 1648.548620000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3695 1648.548955000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3696 1648.549006000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1182 Win=64339 Len=0
   3697 1648.566536000 192.168.0.1           192.168.0.2           TCP      70     [TCP segment of a reassembled PDU]
   3698 1648.567007000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3699 1648.567076000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1199 Win=64322 Len=0
   3700 1648.567114000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3701 1648.623711000 192.168.0.1           192.168.0.2           TCP      107    [TCP segment of a reassembled PDU]
   3702 1648.623840000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1253 Win=64268 Len=0
   3703 1648.624232000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3704 1648.624275000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3705 1648.624317000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1255 Win=64266 Len=0
   3706 1648.695551000 192.168.0.1           192.168.0.2           TCP      121    [TCP segment of a reassembled PDU]
   3707 1648.696026000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3708 1648.696070000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1323 Win=65520 Len=0
   3709 1648.696089000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3710 1648.783127000 192.168.0.1           192.168.0.2           TCP      136    [TCP segment of a reassembled PDU]
   3711 1648.783260000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1406 Win=65437 Len=0
   3712 1648.783656000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3713 1648.783695000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3714 1648.783735000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1408 Win=65435 Len=0
   3715 1648.799389000 192.168.0.1           192.168.0.2           TCP      68     [TCP segment of a reassembled PDU]
   3716 1648.799873000 192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
   3717 1648.799940000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1423 Win=65420 Len=0
   3718 1648.799979000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3719 1648.810080000 192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
   3720 1648.810175000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [ACK] Seq=395 Ack=1425 Win=65419 Len=0
   3721 1648.810430000 192.168.0.2           192.168.0.1           TCP      54     49378 > http [FIN, ACK] Seq=395 Ack=1425 Win=65419 Len=0
   3722 1648.810568000 192.168.0.1           192.168.0.2           TCP      60     http > 49378 [ACK] Seq=1425 Ack=396 Win=2048 Len=0
   3727 1650.250205000 192.168.0.2           192.168.0.1           TCP      66     49379 > http [SYN] Seq=0 Win=8192 Len=0 MSS=1260 WS=4 SACK_PERM=1
   3728 1650.250585000 192.168.0.1           192.168.0.2           TCP      60     http > 49379 [SYN, ACK] Seq=2510099459 Ack=1 Win=2048 Len=0 MSS=1260
   3729 1650.250705000 192.168.0.2           192.168.0.1           TCP      54     49379 > http [ACK] Seq=1 Ack=2510099460 Win=65520 Len=0
   3749 1660.249828000 192.168.0.2           192.168.0.1           TCP      54     49379 > http [FIN, ACK] Seq=1 Ack=2510099460 Win=65520 Len=0
   3750 1660.250140000 192.168.0.1           192.168.0.2           TCP      60     http > 49379 [ACK] Seq=2510099460 Ack=2 Win=2048 Len=0
   3751 1660.252150000 192.168.0.1           192.168.0.2           TCP      60     http > 49379 [FIN, ACK] Seq=2510099460 Ack=2 Win=2048 Len=0
   3752 1660.252225000 192.168.0.2           192.168.0.1           TCP      54     49379 > http [ACK] Seq=2 Ack=2510099461 Win=65520 Len=0
