No.     Time           Source                Destination           Protocol Length Info
    114 7.789724000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    115 7.789756000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1059 Win=64462 Len=0
    116 7.806363000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
    117 7.806848000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    118 7.806890000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1075 Win=64446 Len=0
    119 7.806912000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    120 7.898806000    192.168.0.1           192.168.0.2           TCP      139    [TCP segment of a reassembled PDU]
    121 7.898896000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1161 Win=64360 Len=0
    122 7.899269000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    123 7.899331000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    124 7.899373000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1163 Win=64358 Len=0
    125 7.910907000    192.168.0.1           192.168.0.2           TCP      64     [TCP segment of a reassembled PDU]
    126 7.911351000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    127 7.911395000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1174 Win=64347 Len=0
    128 7.911417000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    129 7.920858000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    130 7.920943000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1183 Win=64338 Len=0
    131 7.921329000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    132 7.921378000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    133 7.921410000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1185 Win=64336 Len=0
    134 7.923493000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    135 7.924178000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    136 7.924258000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1187 Win=64334 Len=0
    137 7.924289000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    138 7.964066000    192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
    139 7.964151000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1225 Win=64296 Len=0
    140 7.964537000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    141 7.964604000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    142 7.964650000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1227 Win=64294 Len=0
    143 8.041166000    192.168.0.1           192.168.0.2           TCP      126    [TCP segment of a reassembled PDU]
    144 8.041240000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    145 8.041284000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1300 Win=65520 Len=0
    146 8.041667000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    147 8.084846000    192.168.0.1           192.168.0.2           TCP      94     [TCP segment of a reassembled PDU]
    148 8.084933000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1341 Win=65479 Len=0
    149 8.084965000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    150 8.085291000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    151 8.085351000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1343 Win=65477 Len=0
    152 8.094519000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    153 8.095011000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    154 8.095056000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1352 Win=65468 Len=0
    155 8.095079000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    156 8.097173000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    157 8.097234000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1354 Win=65466 Len=0
    158 8.097614000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    159 8.097666000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    160 8.097697000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1356 Win=65464 Len=0
    161 8.135489000    192.168.0.1           192.168.0.2           TCP      89     [TCP segment of a reassembled PDU]
    162 8.135973000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    163 8.136021000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1392 Win=65428 Len=0
    164 8.136044000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    165 8.208563000    192.168.0.1           192.168.0.2           TCP      122    [TCP segment of a reassembled PDU]
    166 8.208658000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1461 Win=65359 Len=0
    167 8.208692000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    168 8.209087000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    169 8.209154000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1463 Win=65357 Len=0
    170 8.218545000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    171 8.218962000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    172 8.219028000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1472 Win=65348 Len=0
    173 8.219053000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    174 8.221199000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    175 8.221283000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1474 Win=65346 Len=0
    176 8.221663000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    177 8.221720000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    178 8.221761000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1476 Win=65344 Len=0
    179 8.261439000    192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
    180 8.261927000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    181 8.261967000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1514 Win=65306 Len=0
    182 8.261991000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    183 8.365790000    192.168.0.1           192.168.0.2           TCP      152    [TCP segment of a reassembled PDU]
    184 8.365862000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1613 Win=65207 Len=0
    185 8.366230000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    186 8.366251000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    187 8.366270000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1615 Win=65205 Len=0
    188 8.376078000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    189 8.376117000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    190 8.376144000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1624 Win=65196 Len=0
    191 8.376481000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    192 8.392374000    192.168.0.1           192.168.0.2           TCP      68     [TCP segment of a reassembled PDU]
    193 8.392452000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1639 Win=65181 Len=0
    194 8.392478000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    195 8.392787000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    196 8.392813000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1641 Win=65179 Len=0
    197 8.402370000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    198 8.402429000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    199 8.402463000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1650 Win=65170 Len=0
    200 8.402802000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    201 8.412358000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    202 8.412426000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1659 Win=65161 Len=0
    203 8.412448000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    204 8.412840000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    205 8.412862000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1661 Win=65159 Len=0
    206 8.433598000    192.168.0.1           192.168.0.2           TCP      73     [TCP segment of a reassembled PDU]
    207 8.434071000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    208 8.434137000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1681 Win=65139 Len=0
    209 8.434174000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    210 8.457892000    192.168.0.1           192.168.0.2           TCP      74     [TCP segment of a reassembled PDU]
    211 8.458031000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1702 Win=65118 Len=0
    212 8.458446000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    213 8.458511000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    214 8.458562000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1704 Win=65116 Len=0
    215 8.465798000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    216 8.466282000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    217 8.466354000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1711 Win=65109 Len=0
    218 8.466392000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    219 8.478961000    192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    220 8.479098000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1723 Win=65097 Len=0
    221 8.479497000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    222 8.479544000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    223 8.479585000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1725 Win=65095 Len=0
    224 8.509913000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
    225 8.510380000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    226 8.510450000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1754 Win=65066 Len=0
    227 8.510491000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    228 8.517807000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    229 8.517932000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1761 Win=65059 Len=0
    230 8.518341000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    231 8.518381000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    232 8.518420000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1763 Win=65057 Len=0
    233 8.535138000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
    234 8.535625000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    235 8.535698000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1779 Win=65041 Len=0
    236 8.535739000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    237 8.559871000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    238 8.560010000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1802 Win=65018 Len=0
    239 8.560421000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    240 8.560487000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    241 8.560535000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1804 Win=65016 Len=0
    242 8.585517000    192.168.0.1           192.168.0.2           TCP      77     [TCP segment of a reassembled PDU]
    243 8.586000000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    244 8.586072000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1828 Win=64992 Len=0
    245 8.586112000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    246 8.615427000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    247 8.615564000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1856 Win=64964 Len=0
    248 8.615960000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    249 8.616004000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    250 8.616046000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1858 Win=64962 Len=0
    251 8.640296000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    252 8.640413000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    253 8.640487000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1881 Win=64939 Len=0
    254 8.640903000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    255 8.668265000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    256 8.668389000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1907 Win=64913 Len=0
    257 8.668433000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    258 8.668761000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    259 8.668804000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1909 Win=64911 Len=0
    260 8.698902000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
    261 8.699388000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    262 8.699460000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1938 Win=64882 Len=0
    263 8.699500000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    264 8.736153000    192.168.0.1           192.168.0.2           TCP      88     [TCP segment of a reassembled PDU]
