No.     Time           Source                Destination           Protocol Length Info
     59 4.767090000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=276 Win=65245 Len=0
     60 4.767114000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     61 4.767439000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     62 4.767512000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=278 Win=65243 Len=0
     63 4.774589000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     64 4.775095000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     65 4.775136000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=285 Win=65236 Len=0
     66 4.775157000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     67 4.792031000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
     68 4.792113000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=301 Win=65220 Len=0
     69 4.792662000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     70 4.792720000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     71 4.792760000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=303 Win=65218 Len=0
     72 4.816615000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
     73 4.817025000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     74 4.817101000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=326 Win=65195 Len=0
     75 4.817130000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     76 4.842493000    192.168.0.1           192.168.0.2           TCP      77     [TCP segment of a reassembled PDU]
     77 4.842576000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=350 Win=65171 Len=0
     78 4.843019000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     79 4.843084000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     80 4.843125000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=352 Win=65169 Len=0
     81 4.872244000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
     82 4.872551000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     83 4.872585000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=380 Win=65141 Len=0
     84 4.872923000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     85 4.897383000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
     86 4.897465000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=403 Win=65118 Len=0
     87 4.897493000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     88 4.897526000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     89 4.897560000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=405 Win=65116 Len=0
     90 4.924893000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
     91 4.925406000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     92 4.925479000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=431 Win=65090 Len=0
     93 4.925507000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     94 4.955688000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
     95 4.955766000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=460 Win=65061 Len=0
     96 4.956142000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     97 4.956201000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     98 4.956245000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=462 Win=65059 Len=0
     99 4.993038000    192.168.0.1           192.168.0.2           TCP      88     [TCP segment of a reassembled PDU]
    100 4.993447000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    101 4.993519000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=497 Win=65024 Len=0
    102 4.993547000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    103 5.000818000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    104 5.000893000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=504 Win=65017 Len=0
    105 5.001072000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    106 5.001527000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    107 5.001561000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=506 Win=65015 Len=0
    108 5.018293000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
    109 5.018730000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    110 5.018795000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=522 Win=64999 Len=0
    111 5.018820000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    112 5.043028000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    113 5.043110000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=545 Win=64976 Len=0
    114 5.043141000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    115 5.043703000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    116 5.043771000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=547 Win=64974 Len=0
    117 5.072787000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    118 5.073185000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    119 5.073252000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=575 Win=64946 Len=0
    120 5.073291000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    121 5.080680000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    122 5.080799000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=582 Win=64939 Len=0
    123 5.081381000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    124 5.081473000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    125 5.081541000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=584 Win=64937 Len=0
    126 5.094044000    192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    127 5.094145000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    128 5.094222000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=596 Win=64925 Len=0
    129 5.094438000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    130 5.118843000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    131 5.118991000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=619 Win=64902 Len=0
    132 5.119049000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    133 5.119412000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    134 5.119503000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=621 Win=64900 Len=0
    135 5.154275000    192.168.0.1           192.168.0.2           TCP      85     [TCP segment of a reassembled PDU]
    136 5.154736000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    137 5.154814000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=653 Win=64868 Len=0
    138 5.154858000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    139 5.184380000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    140 5.184512000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=681 Win=64840 Len=0
    141 5.184560000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    142 5.185080000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    143 5.185199000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=683 Win=64838 Len=0
    144 5.214110000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    145 5.214600000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    146 5.214672000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=711 Win=64810 Len=0
    147 5.214709000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    150 5.244600000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    151 5.244679000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=739 Win=64782 Len=0
    152 5.244707000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    153 5.244738000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    154 5.244775000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=741 Win=64780 Len=0
    155 5.273933000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    156 5.274585000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    157 5.274656000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=769 Win=64752 Len=0
    158 5.274685000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    159 5.298601000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    160 5.298672000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=792 Win=64729 Len=0
    161 5.298880000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    162 5.299437000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    163 5.299505000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=794 Win=64727 Len=0
    164 5.335845000    192.168.0.1           192.168.0.2           TCP      88     [TCP segment of a reassembled PDU]
    165 5.336146000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    166 5.336188000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=829 Win=64692 Len=0
    167 5.336528000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    168 5.375516000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
    169 5.375600000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=866 Win=64655 Len=0
    170 5.375631000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    171 5.375958000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    172 5.375992000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=868 Win=64653 Len=0
    173 5.415769000    192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
    174 5.415841000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    175 5.415891000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=906 Win=64615 Len=0
    176 5.416432000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    178 5.448072000    192.168.0.1           192.168.0.2           TCP      83     [TCP segment of a reassembled PDU]
    179 5.448155000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=936 Win=64585 Len=0
    180 5.448184000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    181 5.448217000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    182 5.448250000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=938 Win=64583 Len=0
    183 5.501655000    192.168.0.1           192.168.0.2           TCP      104    [TCP segment of a reassembled PDU]
    184 5.501953000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    185 5.502015000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=989 Win=64532 Len=0
    186 5.502368000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    187 5.564339000    192.168.0.1           192.168.0.2           TCP      112    [TCP segment of a reassembled PDU]
    188 5.564419000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1048 Win=64473 Len=0
    189 5.564441000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    190 5.564749000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    191 5.564778000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1050 Win=64471 Len=0
    192 5.623625000    192.168.0.1           192.168.0.2           TCP      109    [TCP segment of a reassembled PDU]
    193 5.623683000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    194 5.623714000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1106 Win=64415 Len=0
    195 5.624047000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    196 5.680801000    192.168.0.1           192.168.0.2           TCP      107    [TCP segment of a reassembled PDU]
    197 5.680875000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1160 Win=64361 Len=0
    198 5.680898000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    199 5.681210000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    200 5.681229000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1162 Win=64359 Len=0
    201 5.710290000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    202 5.710350000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    203 5.710381000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1188 Win=64333 Len=0
    204 5.710715000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    205 5.740200000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    206 5.740271000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1216 Win=64305 Len=0
    207 5.740293000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    208 5.740605000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    209 5.740622000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1218 Win=64303 Len=0
    210 5.768021000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    211 5.768077000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    212 5.768107000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1244 Win=64277 Len=0
    213 5.768441000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    214 5.775910000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    215 5.775974000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1251 Win=64270 Len=0
    216 5.775995000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    217 5.776307000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    218 5.776323000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1253 Win=64268 Len=0
    219 5.798481000    192.168.0.1           192.168.0.2           TCP      74     [TCP segment of a reassembled PDU]
    220 5.798525000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    221 5.798552000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1274 Win=65520 Len=0
    222 5.798885000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    223 5.825269000    192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
    224 5.825392000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1299 Win=65495 Len=0
    225 5.825437000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    226 5.825770000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    227 5.825811000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1301 Win=65493 Len=0
    228 5.832846000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    229 5.833327000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    230 5.833379000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1308 Win=65486 Len=0
    231 5.833408000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    232 5.850182000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
    233 5.850303000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1324 Win=65470 Len=0
    234 5.850695000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    235 5.850734000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    236 5.850775000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1326 Win=65468 Len=0
    237 5.878018000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    238 5.878501000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    239 5.878569000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1352 Win=65442 Len=0
    240 5.878607000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    241 5.917361000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
    242 5.917439000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1389 Win=65405 Len=0
    243 5.917991000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    244 5.918053000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    245 5.918095000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1391 Win=65403 Len=0
    246 5.924188000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    247 5.924499000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    248 5.924541000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1397 Win=65397 Len=0
    249 5.924889000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    250 5.943848000    192.168.0.1           192.168.0.2           TCP      71     [TCP segment of a reassembled PDU]
    251 5.943931000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1415 Win=65379 Len=0
    252 5.943956000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    253 5.944454000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    254 5.944520000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1417 Win=65377 Len=0
    255 5.972483000    192.168.0.1           192.168.0.2           TCP      80     [TCP segment of a reassembled PDU]
    256 5.972798000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    257 5.972838000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1444 Win=65350 Len=0
    258 5.973180000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    259 6.012154000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
    260 6.012232000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1481 Win=65313 Len=0
    261 6.012258000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    262 6.012569000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    263 6.012591000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1483 Win=65311 Len=0
    264 6.043122000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
    265 6.043187000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    266 6.043224000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1512 Win=65282 Len=0
    267 6.043735000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    268 6.051009000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    269 6.051086000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1519 Win=65275 Len=0
    270 6.051114000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    271 6.051447000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    272 6.051512000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1521 Win=65273 Len=0
    273 6.066099000    192.168.0.1           192.168.0.2           TCP      67     [TCP segment of a reassembled PDU]
    274 6.066510000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    275 6.066582000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=1535 Win=65259 Len=0
